service_name,service_key,amount_key,g2_id,g2_name,g2_price_raw,za3em_id,za3em_name,za3em_price_raw,cheaper_provider,price_diff_abs,match_confidence,g2_source,za3em_source,g2_variant,za3em_variant
Mobile Legends,mlbb,55,2793,55,0.765,8156,Diamonds 55 ML,0.73542,za3em,0.02958,0.3333,game,package,topup,topup
Mobile Legends,mlbb,55,3270,55,0.796,8156,Diamonds 55 ML,0.73542,za3em,0.06058,0.3333,game,package,topup,topup
Mobile Legends,mlbb,55,438,55,0.806,8156,Diamonds 55 ML,0.73542,za3em,0.07058,0.3333,game,package,topup,topup
Mobile Legends,mlbb,55,1549,55,0.959,8156,Diamonds 55 ML,0.73542,za3em,0.22358,0.3333,game,package,topup,topup
Mobile Legends,mlbb,55,1824,55,1.071,8156,Diamonds 55 ML,0.73542,za3em,0.33558,0.3333,game,package,topup,topup
Mobile Legends,mlbb,86,432,86,1.112,8157,Diamond 86 ML,1.15566,g2bulk,0.04366,0.3333,game,package,topup,topup
Mobile Legends,mlbb,86,2794,86,1.214,8157,Diamond 86 ML,1.15566,za3em,0.05834,0.3333,game,package,topup,topup
Mobile Legends,mlbb,172,439,172,2.224,8158,Diamonds 172 ML,2.29072,g2bulk,0.06672,0.3333,game,package,topup,topup
Mobile Legends,mlbb,172,2719,172,2.417,8158,Diamonds 172 ML,2.29072,za3em,0.12628,0.3333,game,package,topup,topup
Mobile Legends,mlbb,172,299,172,2.856,8158,Diamonds 172 ML,2.29072,za3em,0.56528,0.3333,game,package,topup,topup
Mobile Legends,mlbb,257,445,257,3.315,8159,Diamonds 257 ML,3.29909,za3em,0.01591,0.3333,game,package,topup,topup
Mobile Legends,mlbb,257,2779,257,3.458,8159,Diamonds 257 ML,3.29909,za3em,0.15891,0.3333,game,package,topup,topup
Mobile Legends,mlbb,257,300,257,4.223,8159,Diamonds 257 ML,3.29909,za3em,0.92391,0.3333,game,package,topup,topup
Mobile Legends,mlbb,344,441,344,3.56,8160,Diamonds 344 ML,4.60204,g2bulk,1.04204,0.3333,game,package,topup,topup
Mobile Legends,mlbb,344,2743,344,4.835,8160,Diamonds 344 ML,4.60204,za3em,0.23296,0.3333,game,package,topup,topup
Mobile Legends,mlbb,344,304,344,5.62,8160,Diamonds 344 ML,4.60204,za3em,1.01796,0.3333,game,package,topup,topup
Mobile Legends,mlbb,565,2772,565,7.619,8161,Diamonds 565 ML,7.24914,za3em,0.36986,0.3333,game,package,topup,topup
Mobile Legends,mlbb,565,3269,565,7.915,8161,Diamonds 565 ML,7.24914,za3em,0.66586,0.3333,game,package,topup,topup
Mobile Legends,mlbb,565,434,565,8.129,8161,Diamonds 565 ML,7.24914,za3em,0.87986,0.3333,game,package,topup,topup
Mobile Legends,mlbb,565,1546,565,9.588,8161,Diamonds 565 ML,7.24914,za3em,2.33886,0.3333,game,package,topup,topup
Mobile Legends,mlbb,565,1818,565,10.812,8161,Diamonds 565 ML,7.24914,za3em,3.56286,0.3333,game,package,topup,topup
Mobile Legends,mlbb,792,2800,792,10.73,8162,Diamonds 792 ML,10.20112,za3em,0.52888,0.3333,game,package,topup,topup
Mobile Legends,mlbb,1412,2756,1412,19.013,8163,Diamonds 1412 ML,18.09092,za3em,0.92208,0.3333,game,package,topup,topup
Mobile Legends,mlbb,2539,2766,2539,33.609,8164,Diamonds 2539 ML,31.98047,za3em,1.62853,0.3333,game,package,topup,topup
Mobile Legends,mlbb,3417,2757,3417,45.533,8165,Diamonds 3417 ML,43.32695,za3em,2.20605,0.3333,game,package,topup,topup
Mobile Legends,mlbb,4394,2724,4394,57.518,8166,Diamonds 4394 ML,54.72596,za3em,2.79204,0.3333,game,package,topup,topup
Mobile Legends,mlbb,6134,2818,6134,80.957,8167,Diamonds 6134 ML,77.02958,za3em,3.92742,0.3333,game,package,topup,topup
PUBG,pubg,1,269,Prime Plus (1 Month),8.8,4379,برايم بلس (1 شهر),8.89508,g2bulk,0.09508,0.1429,game,package,month|plus|prime,month|plus|prime
PUBG,pubg,3,238,Prime (3 Months),2.64,7548,برايم (3 شهر),2.658059,g2bulk,0.018059,0.2,game,package,month|prime,month|prime
PUBG,pubg,3,273,Prime Plus (3 Months),26.4,7543,برايم بلس (3 شهر),26.172465,za3em,0.227535,0.1429,game,package,month|plus|prime,month|plus|prime
PUBG,pubg,6,246,Prime (6 Months),5.28,7547,برايم (6 شهر),5.263794,za3em,0.016206,0.2,game,package,month|prime,month|prime
PUBG,pubg,6,257,Prime Plus (6 Months),52.0,7544,برايم بلس (6 شهر),52.221,g2bulk,0.221,0.1429,game,package,month|plus|prime,month|plus|prime
PUBG,pubg,12,256,Prime Plus (12 Months),105.0,7545,برايم بلس(12 شهر),104.553817,za3em,0.446183,0.0,game,package,month|plus|prime,month|plus|prime
PUBG,pubg,60,2,60 Uc,0.855,4328,60 شدة روبوت,0.872943,g2bulk,0.017943,0.25,gift,package,topup,topup
PUBG,pubg,60,264,60,0.89,4328,60 شدة روبوت,0.872943,za3em,0.017057,0.3333,game,package,topup,topup
PUBG,pubg,325,3,325 Uc,4.315,4329,325 شدة روبوت,4.364715,g2bulk,0.049715,0.25,gift,package,topup,topup
PUBG,pubg,325,248,325,4.425,4329,325 شدة روبوت,4.364715,za3em,0.060285,0.3333,game,package,topup,topup
PUBG,pubg,660,4,660 Uc,8.63,4330,660 شدة روبوت,8.72944,g2bulk,0.09944,0.25,gift,package,topup,topup
PUBG,pubg,660,258,660,8.85,4330,660 شدة روبوت,8.72944,za3em,0.12056,0.3333,game,package,topup,topup
PUBG,pubg,1800,5,1800 Uc,21.625,4331,1800 شدة روبوت,21.84125,g2bulk,0.21625,0.25,gift,package,topup,topup
PUBG,pubg,1800,253,1800,22.125,4331,1800 شدة روبوت,21.84125,za3em,0.28375,0.3333,game,package,topup,topup
PUBG,pubg,3850,6,3850 Uc,43.25,4332,3850 شدة روبوت,43.5175,g2bulk,0.2675,0.25,gift,package,topup,topup
PUBG,pubg,3850,270,3850,44.25,4332,3850 شدة روبوت,43.5175,za3em,0.7325,0.3333,game,package,topup,topup
PUBG,pubg,8100,7,8100 Uc,86.5,4333,8100 شدة روبوت,84.975,za3em,1.525,0.25,gift,package,topup,topup
PUBG,pubg,8100,227,8100,88.0,4333,8100 شدة روبوت,84.975,za3em,3.025,0.3333,game,package,topup,topup
PlayStation,playstation,10,95,10$ PSN KSA,9.5,5062,بلاي ستيشن امريكي 10$,9.800361,g2bulk,0.300361,0.1667,gift,package,usd,usd
PlayStation,playstation,10,37,10$ PSN USA,9.6,5062,بلاي ستيشن امريكي 10$,9.800361,g2bulk,0.200361,0.1667,gift,package,usd,usd
PlayStation,playstation,50,39,50$ PSN USA,45.0,5064,بلاي ستيشن امريكي 50$,45.410036,g2bulk,0.410036,0.1667,gift,package,usd,usd
PlayStation,playstation,50,97,50$ PSN KSA,47.5,5064,بلاي ستيشن امريكي 50$,45.410036,za3em,2.089964,0.1667,gift,package,usd,usd
PlayStation,playstation,100,42,100$ PSN USA,90.5,5068,بلاي ستيشن امريكي 100$,90.820081,g2bulk,0.320081,0.1667,gift,package,usd,usd
PlayStation,playstation,100,98,100$ PSN KSA,95.0,5068,بلاي ستيشن امريكي 100$,90.820081,za3em,4.179919,0.1667,gift,package,usd,usd
Razer,razer,1,30,Razer Gold 1$ Global,0.93,3797,1$ RAZER عالمي,0.9486,g2bulk,0.0186,0.4,gift,package,usd,usd
Razer,razer,2,31,Razer Gold 2$ Global,1.86,3798,2$ RAZER عالمي,1.8972,g2bulk,0.0372,0.4,gift,package,usd,usd
Razer,razer,5,32,Razer Gold 5$ Global,4.65,3799,5$ RAZER عالمي,4.743,g2bulk,0.093,0.4,gift,package,usd,usd
